temp_c,specific_wt,density,Dyn_visc,kinem_visc,surf_tens,modul_elast,sat_vp_kPa
0,9.805,999.8,0.001781,0.000001785,0.0765,1980000000,0.61
5,9.807,1000,0.001518,0.000001519,0.0749,2050000000,0.87
10,9.804,999.7,0.001307,0.000001306,0.0742,2100000000,1.23
15,9.798,999.1,0.001139,0.000001139,0.0735,2150000000,1.7
20,9.789,998.2,0.001002,0.000001003,0.0728,2170000000,2.34
25,9.777,997,0.00089,0.000000893,0.072,2220000000,3.17
30,9.764,995.7,0.000798,0.0000008,0.0712,2250000000,4.24
40,9.73,992.2,0.000653,0.000000658,0.0696,2280000000,7.38
50,9.689,988,0.000547,0.000000553,0.0679,2290000000,12.33
60,9.642,983.2,0.000466,0.000000474,0.0662,2280000000,19.92
70,9.589,977.8,0.000404,0.000000413,0.0644,2250000000,31.16
80,9.53,971.8,0.000354,0.000000364,0.0626,2200000000,47.34
90,9.466,965.3,0.000315,0.000000326,0.0608,2140000000,70.1
100,9.399,958.4,0.000282,0.000000294,0.0589,2070000000,101.33
